domain,citation_events,unique_pages,answers,questions,first_citations,sample_rate_pct,question_rate_pct,source_type
iesdouyin.com,3626,972,569,96,78,98.78,100.0,抖音视频
school.jinritemai.com,1542,151,465,93,177,80.73,96.88,字节/头条系其他
m.sohu.com,847,110,442,94,64,76.74,97.92,新闻/门户/自媒体
jzl.com,543,47,259,76,28,44.97,79.17,企业官网/工具平台
deepnavi.cn,427,6,292,80,15,50.69,83.33,企业官网/工具平台
coonav.com,361,4,340,84,38,59.03,87.5,企业官网/工具平台
ai.chanmama.com,284,45,200,66,22,34.72,68.75,企业官网/工具平台
compass.jinritemai.com,282,9,194,57,32,33.68,59.38,字节/头条系其他
blog.csdn.net,236,44,193,68,23,33.51,70.83,社区/博客/问答
chanmama.com,221,24,186,77,4,32.29,80.21,企业官网/工具平台
9200.cn,179,3,143,63,0,24.83,65.62,其他外部来源
guandata.com,136,6,129,53,0,22.4,55.21,其他外部来源
163.com,108,6,102,42,0,17.71,43.75,新闻/门户/自媒体
matrix.newrank.cn,107,10,77,30,17,13.37,31.25,企业官网/工具平台
feigua.cn,106,10,96,44,6,16.67,45.83,企业官网/工具平台
ai-indeed.com,98,29,69,34,0,11.98,35.42,其他外部来源
fanruan.com,83,18,73,31,7,12.67,32.29,企业官网/工具平台
m.toutiao.com,83,36,63,38,0,10.94,39.58,字节/头条系其他
post.m.smzdm.com,80,8,77,36,0,13.37,37.5,新闻/门户/自媒体
developer.open-douyin.com,69,25,52,20,7,9.03,20.83,其他外部来源
tools-ai.cn,65,3,62,36,6,10.76,37.5,其他外部来源
douchacha.com,64,19,55,21,0,9.55,21.88,其他外部来源
dy.feigua.cn,62,27,58,39,0,10.07,40.62,企业官网/工具平台
d.newrank.cn,59,5,56,20,1,9.72,20.83,企业官网/工具平台
m.oppozhijia.com,47,19,43,26,0,7.47,27.08,其他外部来源
douyinec.com,40,2,40,22,0,6.94,22.92,其他外部来源
github.com,38,13,27,13,1,4.69,13.54,其他外部来源
buyin.jinritemai.com,35,6,30,20,0,5.21,20.83,字节/头条系其他
feishu.cn,35,15,19,7,0,3.3,7.29,字节/头条系其他
yun88.com,34,3,34,21,0,5.9,21.88,其他外部来源
woshipm.com,33,11,32,23,0,5.56,23.96,社区/博客/问答
apps.apple.com,32,11,29,16,4,5.03,16.67,其他外部来源
m.10100.com,32,10,32,15,0,5.56,15.62,其他外部来源
open.oceanengine.com,31,19,24,11,0,4.17,11.46,字节/头条系其他
op.jinritemai.com,30,10,26,11,7,4.51,11.46,字节/头条系其他
partner.open-douyin.com,29,13,26,14,0,4.51,14.58,其他外部来源
feigua.aiproducthub.cn,28,1,28,16,0,4.86,16.67,其他外部来源
iqinghu.com,28,8,24,13,2,4.17,13.54,其他外部来源
kdniao.csdn.net,27,2,27,15,0,4.69,15.62,社区/博客/问答
qianchuan.jinritemai.com,27,5,21,14,0,3.65,14.58,字节/头条系其他
app.mi.com,25,2,24,11,6,4.17,11.46,其他外部来源
m.289.com,25,2,25,12,0,4.34,12.5,其他外部来源
fuwu.jinritemai.com,22,13,18,11,0,3.12,11.46,字节/头条系其他
php.cn,22,4,22,14,1,3.82,14.58,社区/博客/问答
toobigdata.aiproducthub.cn,22,1,22,10,0,3.82,10.42,其他外部来源
trendinsight.oceanengine.com,21,11,21,17,0,3.65,17.71,字节/头条系其他
wenku.csdn.net,21,15,20,17,0,3.47,17.71,社区/博客/问答
dsp.feigua.cn,18,4,18,13,0,3.12,13.54,企业官网/工具平台
xingtu.cn,18,9,15,10,0,2.6,10.42,其他外部来源
oceanengine.com,16,3,16,11,0,2.78,11.46,字节/头条系其他
chanmama.aiproducthub.cn,15,1,15,12,0,2.6,12.5,其他外部来源
ifupan.com,14,3,13,5,0,2.26,5.21,其他外部来源
juejin.cn,14,8,13,10,1,2.26,10.42,社区/博客/问答
kaogujia.aiproducthub.cn,14,1,14,14,0,2.43,14.58,其他外部来源
zboec.cn,14,5,13,10,0,2.26,10.42,其他外部来源
voice.newrank.cn,13,3,13,6,0,2.26,6.25,企业官网/工具平台
volcengine.com,13,9,9,6,0,1.56,6.25,字节/头条系其他
webcdn.xiguaji.com,13,3,13,8,0,2.26,8.33,其他外部来源
ads.tiktok.com,12,4,10,5,0,1.74,5.21,其他外部来源
edit.newrank.cn,12,1,12,9,0,2.08,9.38,企业官网/工具平台
kalodata.com,12,3,11,7,0,1.91,7.29,其他外部来源
kawo.com,12,3,12,4,0,2.08,4.17,其他外部来源
yuntu.oceanengine.com,12,6,9,6,0,1.56,6.25,字节/头条系其他
cj.sina.com.cn,11,6,10,5,0,1.74,5.21,新闻/门户/自媒体
newrank.oss-cn-hangzhou.aliyuncs.com,11,3,11,7,0,1.91,7.29,其他外部来源
sj.qq.com,11,1,11,6,0,1.91,6.25,新闻/门户/自媒体
xinstall.com,11,4,9,2,2,1.56,2.08,其他外部来源
c.m.163.com,10,4,10,7,0,1.74,7.29,新闻/门户/自媒体
developer.cloud.tencent.cn,10,1,10,3,1,1.74,3.12,其他外部来源
finebi.com,10,2,10,7,0,1.74,7.29,其他外部来源
huo1818.com,10,1,10,7,0,1.74,7.29,其他外部来源
objects.githubusercontent.com,10,1,10,5,2,1.74,5.21,其他外部来源
ask.zol.com.cn,9,5,8,7,0,1.39,7.29,其他外部来源
cnblogs.com,9,5,8,4,4,1.39,4.17,社区/博客/问答
csfjt.com,9,1,9,3,0,1.56,3.12,其他外部来源
m.11467.com,9,7,8,7,0,1.39,7.29,其他外部来源
m.mizhijia.net,9,3,9,8,0,1.56,8.33,其他外部来源
opp2.com,9,5,9,8,0,1.56,8.33,其他外部来源
yingdao.com,9,2,9,4,0,1.56,4.17,其他外部来源
caifuhao.eastmoney.com,8,1,8,4,2,1.39,4.17,其他外部来源
chwang.com,8,3,8,6,0,1.39,6.25,其他外部来源
cloud.tencent.com,8,5,8,7,0,1.39,7.29,其他外部来源
resources.youcloud.com,8,5,8,6,0,1.39,6.25,其他外部来源
shangyexinzhi.com,8,3,8,5,0,1.39,5.21,其他外部来源
aixzd.com,7,1,7,4,0,1.22,4.17,其他外部来源
ask.csdn.net,7,4,7,5,0,1.22,5.21,社区/博客/问答
douchacha.aiproducthub.cn,7,1,7,5,0,1.22,5.21,其他外部来源
hub.baai.ac.cn,7,1,7,3,0,1.22,3.12,其他外部来源
jzd.cc,7,1,7,7,0,1.22,7.29,其他外部来源
ks.feigua.cn,7,5,5,4,0,0.87,4.17,企业官网/工具平台
pzw520.com,7,3,7,4,0,1.22,4.17,其他外部来源
sf3-cdn-tos.douyinstatic.com,7,3,6,4,0,1.04,4.17,其他外部来源
gitcode.csdn.net,6,3,6,3,0,1.04,3.12,社区/博客/问答
h.chanjet.com,6,4,5,2,0,0.87,2.08,其他外部来源
img.feigua.cn,6,4,6,4,0,1.04,4.17,企业官网/工具平台
jijyun.cn,6,3,6,3,0,1.04,3.12,其他外部来源
m.okjike.com,6,2,6,4,0,1.04,4.17,其他外部来源
sgiap.dianzilajihs.com,6,1,6,1,6,1.04,1.04,其他外部来源
tikhub.io,6,3,5,5,0,0.87,5.21,其他外部来源
brand24.com,5,1,5,4,0,0.87,4.17,其他外部来源
caigeek.com,5,1,5,1,0,0.87,1.04,其他外部来源
cdn.jinghuiyue.com,5,2,5,5,0,0.87,5.21,其他外部来源
crebee.cn,5,1,5,2,0,0.87,2.08,其他外部来源
developer.volcengine.com,5,3,5,4,0,0.87,4.17,字节/头条系其他
finereport.com,5,1,5,4,0,0.87,4.17,企业官网/工具平台
fxg.jinritemai.com,5,1,5,2,1,0.87,2.08,字节/头条系其他
jiwanai.com,5,1,5,5,0,0.87,5.21,其他外部来源
lf26-cdn-tos.draftstatic.com,5,3,5,3,0,0.87,3.12,其他外部来源
m.163.com,5,4,5,4,0,0.87,4.17,新闻/门户/自媒体
m.chuanboyi.com,5,1,5,3,0,0.87,3.12,其他外部来源
techieevent.com,5,1,5,4,0,0.87,4.17,其他外部来源
xueqiu.com,5,4,5,4,2,0.87,4.17,其他外部来源
7starsai.com,4,1,4,3,0,0.69,3.12,其他外部来源
aweme.snssdk.com,4,2,4,2,0,0.69,2.08,其他外部来源
baby.ifeng.com,4,2,4,4,0,0.69,4.17,新闻/门户/自媒体
bilibili.com,4,3,4,4,0,0.69,4.17,社区/博客/问答
bmacr.dianzilajihs.com,4,1,4,4,0,0.69,4.17,其他外部来源
cloud.tencent.cn,4,3,4,2,0,0.69,2.08,其他外部来源
glnav.com,4,1,4,3,0,0.69,3.12,其他外部来源
hailuoshe.com,4,2,4,2,0,0.69,2.08,其他外部来源
jslingshi.com,4,1,4,3,0,0.69,3.12,其他外部来源
kaogujia.com,4,1,4,4,0,0.69,4.17,其他外部来源
m.baike.com,4,2,4,3,0,0.69,3.12,其他外部来源
m.bilibili.com,4,1,4,4,0,0.69,4.17,社区/博客/问答
m.cr173.com,4,4,4,4,0,0.69,4.17,其他外部来源
m.kuai-ad.com,4,4,1,1,0,0.17,1.04,其他外部来源
m.wandoujia.com,4,3,4,4,0,0.69,4.17,其他外部来源
mip.b2b168.com,4,3,4,4,0,0.69,4.17,其他外部来源
newrank.cn,4,1,4,3,0,0.69,3.12,企业官网/工具平台
shuaishou.com,4,3,4,3,0,0.69,3.12,其他外部来源
smartscout.com,4,1,4,3,0,0.69,3.12,其他外部来源
smzs.xisence.com,4,2,4,4,0,0.69,4.17,其他外部来源
tlinky.com,4,1,4,3,0,0.69,3.12,其他外部来源
tmp-staging.multilogin.com,4,2,4,3,0,0.69,3.12,其他外部来源
trenz.ai,4,4,3,3,0,0.52,3.12,其他外部来源
tt123.com,4,3,4,3,0,0.69,3.12,其他外部来源
xdouya.com,4,1,4,1,4,0.69,1.04,其他外部来源
xiguaji.com,4,1,4,2,0,0.69,2.08,其他外部来源
yitongweb.cn,4,2,4,1,0,0.69,1.04,其他外部来源
anycross.feishu.cn,3,1,3,1,0,0.52,1.04,字节/头条系其他
app.meizu.com,3,1,3,2,0,0.52,2.08,其他外部来源
applet.10100.com,3,1,3,1,0,0.52,1.04,其他外部来源
business.oceanengine.com,3,2,3,3,0,0.52,3.12,字节/头条系其他
chanjet.com,3,1,3,2,0,0.52,2.08,其他外部来源
chinaz.com,3,2,3,2,0,0.52,2.08,其他外部来源
datastory.com.cn,3,2,3,1,0,0.52,1.04,其他外部来源
docs.feishu.cn,3,3,3,3,0,0.52,3.12,字节/头条系其他
duntools.com,3,1,3,2,0,0.52,2.08,其他外部来源
dyj.live,3,1,3,1,0,0.52,1.04,其他外部来源
f-o-p.com,3,2,3,2,0,0.52,2.08,其他外部来源
finance.sina.com.cn,3,3,3,2,0,0.52,2.08,新闻/门户/自媒体
