source_id,account_id,account_name,profile_url,displayed_works,collected_works,collection_status,citation_events,unique_videos,matched_samples,matched_questions,first_citations
douyin-85606425230,85606425230,蝉妈妈数据顾问王王,https://www.douyin.com/user/MS4wLjABAAAAUh1SkJDCsqk0JVmb7KtQP0P8v94k8_a3LjOesU2KhhTOJiqncIMP4aiJ1l6LdVZY,87,87,完整,56,11,50,21,0
douyin-72989782987,72989782987,蝉妈妈直播运营津津,https://www.douyin.com/user/MS4wLjABAAAArVj2FKDivpBBHD-UslTRMygsiohAaVPaQ2yYFLEfIb4,86,86,完整,51,9,49,24,0
douyin-62571922952,62571922952,蝉妈妈达人顾问安乐,https://www.douyin.com/user/MS4wLjABAAAA1_bScsBWFRxYMSJ55UoOIywqQxajgGy7QHBQjY5H9605dFpeY-X_UHBCjqzbWkem,81,81,完整,27,11,23,15,0
douyin-37700000417,37700000417,蝉妈妈商务顾问,https://www.douyin.com/user/MS4wLjABAAAAzp3K3-m3YK7AtK_zQGUfAGOaIB4-tDzldrUNUrypbq-TSRlrLBd53OxJ5f8dizrc,87,87,完整,26,9,25,15,0
douyin-94390160864,94390160864,蝉妈妈运营顾问慧慧,https://www.douyin.com/user/MS4wLjABAAAAmFKkrRvoiBEPwo6faRBOSiPYMtxw3K-7-zURJARYIIR1Ldeii_zw7rgfcEmrEbW4,76,76,完整,56,7,55,27,0
douyin-52977841677,52977841677,蝉妈妈投流顾问薇薇,https://www.douyin.com/user/MS4wLjABAAAAEH32Gmsy5bUdhafKLaU9LPec2U5z9CLJsQbgz0E_NgJMT273AC0hx3AiSq1TtYKB,78,78,完整,91,11,85,40,0
douyin-68638800039,68638800039,蝉妈妈选品顾问玲玲,https://www.douyin.com/user/MS4wLjABAAAAArKxB-eNWKS_N9jR25lHk-AhSYcCDJJ0mag2-W_PuwvGpLIfw1aGBwIQLAl2g6Ce,78,78,完整,28,6,27,16,0
douyin-60765252928,60765252928,蝉妈妈内容顾问兰兰,https://www.douyin.com/user/MS4wLjABAAAA2OlKKnKwsLxYx-wWeU2tNDxgSgtkI2HaGzif8Hvs5JI,74,74,完整,30,7,30,15,0
douyin-45133156889,45133156889,蝉妈妈竞品顾问秋秋,https://www.douyin.com/user/MS4wLjABAAAAQNbXrPMGhKvAhOKAIYdIiK4kouCqyUAB800I03Y7OyUJ_UUTQIAVZYwa-MtZtgUe,83,83,完整,92,11,80,30,0
douyin-33081499021,33081499021,喜柿多多数据顾问琪琪,https://www.douyin.com/user/MS4wLjABAAAAfgkhTlrD1A_Eo_YSsCuf2XX_yG_-uT62oT-taExA2VDY35hH_qA76KIyy5l1HKl5,70,70,完整,40,5,39,17,0
douyin-26789409602,26789409602,喜柿多多直播顾问强强,https://www.douyin.com/user/MS4wLjABAAAA-unXvbW2TuAu_VYMm4BJlWSkvtondiRIHQhFmKt7ScZ1l3m7U4fZzBe0xyxs1EBA,70,70,完整,58,6,56,28,0
douyin-66476028197,66476028197,喜柿多多电商顾问琳琳,https://www.douyin.com/user/MS4wLjABAAAASAigODOCxfg-hnVyVJLN6D_JwQKGpXpDDKLjFxzm1Vw,59,59,完整,54,9,51,27,1
douyin-54350615153,54350615153,喜柿多多营销顾问可可,https://www.douyin.com/user/MS4wLjABAAAACF20bJbiGqkrS_XYuLHMkRyb-Q77FXla0mxM7UVX7_g,41,41,完整,43,2,43,17,0
douyin-80976156179,80976156179,喜柿多多运营顾问静静,https://www.douyin.com/user/MS4wLjABAAAAuh89TdAG3bKrdG60hbImbPPGh7glKPlTvEDdMfZ5FpTktZ5EZHAMR_zyCYtraJA2,44,44,完整,35,1,35,19,0
